trajectory_id,experiment_id,x_m,y_m,z_m,ground_z_m,release_x_m,release_y_m,release_z_m,observed_runout_m,block_id,mass_kg,radius_m,source
v081,tschamut2014,61.686000,166.690000,37.306680,37.146680,34.874000,237.360000,72.825691,75.585265,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v083,tschamut2014,111.640000,169.830000,25.976902,25.778569,60.109000,259.480000,75.469633,103.404867,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v086,tschamut2014,99.792000,175.970000,31.472284,31.273951,57.965000,260.650000,76.488023,94.446812,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v088,tschamut2014,84.327000,176.620000,35.612838,35.452838,60.066000,257.640000,74.694099,84.574444,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v090,tschamut2014,101.800000,151.250000,20.913645,20.715312,58.055000,257.190000,75.058517,114.616354,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v092,tschamut2014,120.300000,178.990000,27.487313,27.310646,59.292000,256.910000,74.609892,98.962126,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v093,tschamut2014,112.890000,172.770000,26.855802,26.657469,57.782000,258.080000,75.489466,101.561251,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v095,tschamut2014,109.420000,164.770000,24.459945,24.283278,58.416000,256.870000,74.815369,105.279713,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v097,tschamut2014,126.400000,189.930000,30.374421,30.214421,59.151000,257.160000,74.730559,95.091014,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v099,tschamut2014,100.750000,155.300000,22.787696,22.627696,57.615000,256.590000,74.887619,110.092199,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v101,tschamut2014,110.830000,170.850000,26.574968,26.398301,58.928000,257.270000,74.848395,100.807906,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v104,tschamut2014,101.390000,142.180000,17.308190,17.131523,32.815000,236.890000,73.172461,116.929529,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v105,tschamut2014,80.760000,167.470000,32.795648,32.635648,33.590000,237.180000,73.077525,84.169430,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v107,tschamut2014,56.074000,215.630000,58.624666,58.464666,34.738000,237.620000,72.965824,30.639598,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v109,tschamut2014,82.025000,146.750000,24.089687,23.891354,35.794000,237.180000,72.557965,101.562248,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v111,tschamut2014,97.104000,140.880000,17.864556,17.687889,34.347000,238.050000,73.256288,115.673895,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
